Id,PostTypeId,CreationDate,Score,Viewcount,Tags,AnswerCount,FavoriteCount
"62542","1","2019-11-01 19:11:02","1","13","<python><deep-learning><tensorflow><preprocessing><numpy>","0",""
"62547","1","2019-11-01 19:44:09","1","16","<machine-learning><classification><regression>","1",""
"62548","1","2019-11-01 20:00:47","0","44","<r><missing-data>","1",""
"62549","1","2019-11-01 20:20:21","1","98","<python><scikit-learn><scipy>","1",""
"62550","1","2019-11-01 20:30:20","0","51","<machine-learning><classification><scikit-learn><feature-selection>","1",""
"62551","1","2019-11-01 20:45:20","3","67","<machine-learning>","3",""
"62553","1","2019-11-01 22:37:33","2","49","<data><data-cleaning><preprocessing><feature-scaling>","1",""
"62556","1","2019-11-02 00:30:31","3","55","<machine-learning><python><random-forest><decision-trees>","1","0"
"62558","1","2019-11-02 02:31:47","0","37","<machine-learning><loss-function><natural-language-process><language-model>","0",""
"62561","1","2019-11-02 07:03:21","0","14","<machine-learning><dimensionality-reduction>","0",""
"62563","1","2019-11-02 07:50:14","1","6","<machine-learning><bayesian><non-parametric><bayesian-nonparametric>","0",""
"62569","1","2019-11-02 12:48:27","0","21","<neural-network><accuracy><error-handling>","1",""
"62571","1","2019-11-02 13:31:40","0","95","<neural-network><feature-selection><transfer-learning><embeddings><features>","0",""
"62572","1","2019-11-02 13:36:36","0","9","<machine-learning><ocr>","0",""
"62578","1","2019-11-02 16:51:29","0","90","<python><text-mining>","0",""
"62579","1","2019-11-02 16:58:39","0","13","<machine-learning><classification><statistics>","0",""
"62582","1","2019-11-02 19:19:41","0","37","<neural-network><deep-learning><dataset><image-preprocessing><features>","2",""
"62583","1","2019-11-02 20:09:44","4","251","<scikit-learn><training>","2",""
"62584","1","2019-11-02 20:24:05","1","29","<keras><tensorflow><cnn><gpu><colab>","1",""
"62585","1","2019-11-02 21:00:22","0","43","<data-mining><pandas><data-cleaning><k-nn><error-handling>","1","1"
"62589","1","2019-11-03 01:48:00","0","13","<neural-network><deep-learning><gradient-descent>","0",""
"62590","1","2019-11-03 01:50:20","0","217","<scikit-learn><pickle>","1",""
"62592","1","2019-11-03 03:05:26","3","42","<predictive-modeling><churn><aggregation><survival-analysis>","1",""
"62593","1","2019-11-03 03:21:41","0","28","<machine-learning><python><deep-learning><keras><lstm>","0",""
"62594","1","2019-11-03 03:29:23","1","25","<pandas><dataframe><geospatial>","1",""
"62595","1","2019-11-03 05:01:38","0","24","<classification>","0","1"
"62596","1","2019-11-03 05:15:30","0","23","<machine-learning><gradient-descent><gaussian><kernel><discriminant-analysis>","0",""
"62598","1","2019-11-03 06:49:58","0","19","<nlp><lstm><rnn><word-embeddings>","0",""
"62599","1","2019-11-03 07:14:29","0","18","<machine-learning><deep-learning><naive-bayes-classifier><generative-models>","0",""
"62600","1","2019-11-03 07:30:11","1","23","<machine-learning><python><predictive-modeling><machine-learning-model>","0",""
"62605","1","2019-11-03 10:01:03","0","9","<neural-network><classification><pytorch>","0",""
"62612","1","2019-11-03 18:25:00","1","31","<tensorflow>","1",""
"62613","1","2019-11-03 18:26:34","1","14","<machine-learning><machine-learning-model>","0",""
"62616","1","2019-11-03 19:57:27","1","35","<python><neural-network><keras><recommender-system><embeddings>","0",""
"62617","1","2019-11-03 20:59:44","1","31","<forecasting><time>","0",""
"62622","1","2019-11-04 03:05:37","0","39","<keras><tensorflow><loss-function><numpy>","0",""
"62623","1","2019-11-04 03:08:08","0","71","<machine-learning><classification><multilabel-classification>","3",""
"62624","1","2019-11-04 03:15:54","1","26","<dataset><visualization><graphs>","1",""
"62627","1","2019-11-04 04:50:55","0","23","<deep-learning><convnet><pytorch><data-augmentation>","0",""
"62628","1","2019-11-04 05:10:24","0","25","<python><logistic-regression><gradient-descent>","1",""
"62630","1","2019-11-04 05:27:49","0","23","<data-analysis>","1",""
"62634","1","2019-11-04 06:37:49","0","228","<xgboost><multilabel-classification>","0",""
